STATE,ST_CASE,PEDS,PERNOTMVIT,PERMVIT,VE_TOTAL,CITY,FullDate,DAY_WEEK,FullTime,NHS,ROUTE,TWAY_ID,LGT_COND,WEATHER,ArrivalAtScene,ArrivalAtHosp,DRUNK_DR,FATALS
51,510012,0,0,2,2,0,08-01-2015,5,14:35:00,0,3,SR-94,1,10,99:99:00,99:99:00,1,1
51,510013,0,0,5,1,0,12-01-2015,2,00:20:00,0,3,SR-55,2,2,00:41:00,01:53:00,0,1
51,510014,0,0,1,1,0,14-01-2015,4,05:30:00,1,1,I-295,4,3,99:99:00,88:88:00,0,1
51,510015,0,0,1,1,0,14-01-2015,4,02:00:00,1,1,I-85,2,2,99:99:00,88:88:00,0,1
51,510016,0,0,2,1,0,15-01-2015,5,20:50:00,0,4,CR-605,2,10,20:58:00,99:99:00,0,1
51,510017,0,0,1,1,0,17-01-2015,7,18:44:00,0,2,US-501,2,10,19:04:00,88:88:00,1,1
51,510018,1,1,1,1,468,18-01-2015,1,05:20:00,0,9,RIVER BIRCH RUN,3,10,05:30:00,88:88:00,0,1
51,510019,0,0,3,2,0,19-01-2015,2,06:17:00,1,1,I-295,2,10,06:55:00,07:48:00,0,1
51,510020,0,0,6,2,0,18-01-2015,1,13:10:00,1,1,I-495,1,10,99:99:00,99:99:00,0,1
51,510021,0,0,1,2,2390,20-01-2015,3,17:34:00,1,2,US-58,5,10,18:00:00,18:42:00,0,1
51,510022,0,0,1,1,0,22-01-2015,5,22:11:00,0,4,CR-6723,3,10,22:20:00,22:42:00,0,1
51,510023,1,1,2,2,0,20-01-2015,3,03:15:00,0,2,US-29,2,10,04:01:00,88:88:00,0,1
51,510024,0,0,4,2,1760,23-01-2015,6,12:40:00,1,1,I-64,1,10,12:56:00,13:32:00,1,1
51,510025,0,0,1,1,2390,25-01-2015,1,07:47:00,0,6,HARBOUR VIEW BLVD,1,10,99:99:00,99:99:00,0,1
51,510026,0,0,2,2,0,26-01-2015,2,07:55:00,0,4,CR-610,1,10,08:08:00,99:99:00,0,1
51,510027,0,0,1,1,0,22-01-2015,5,16:00:00,0,2,US-460,1,10,16:48:00,17:07:00,0,1
51,510028,0,0,1,1,0,23-01-2015,6,04:07:00,0,2,US-11,3,10,99:99:00,88:88:00,0,1
51,510029,0,0,1,1,0,27-01-2015,3,21:06:00,0,4,CR-637,2,10,99:99:00,88:88:00,0,1
51,510030,0,0,1,1,0,31-01-2015,7,01:32:00,1,2,US-360,2,10,99:99:00,88:88:00,0,1
51,510031,2,2,1,1,0,01-02-2015,1,21:48:00,0,2,US-17,2,2,21:58:00,22:12:00,1,1
51,510032,0,0,3,2,0,02-02-2015,2,14:35:00,0,4,CR-686,1,10,99:99:00,15:21:00,0,1
51,510033,0,0,4,2,0,03-02-2015,3,08:30:00,0,4,CR-652,1,10,08:37:00,88:88:00,0,1
51,510034,0,0,5,2,0,03-02-2015,3,14:18:00,0,2,US-58,1,10,14:40:00,15:16:00,0,1
51,510035,0,0,5,3,0,31-01-2015,7,20:11:00,0,3,SR-114,2,10,20:34:00,21:02:00,0,1
51,510036,1,1,1,1,2540,03-02-2015,3,17:03:00,0,9,HOLLAND RD,1,10,99:99:00,99:99:00,0,1
51,510037,0,0,1,1,0,04-02-2015,4,15:15:00,0,2,US-501,1,10,15:27:00,16:40:00,1,1
51,510038,0,0,3,1,0,05-02-2015,5,02:19:00,0,4,CR-680,2,10,03:24:00,04:02:00,1,1
51,510039,0,0,1,1,0,04-02-2015,4,09:24:00,0,2,US-50,1,10,09:42:00,88:88:00,0,1
51,510040,0,0,3,2,0,06-02-2015,6,10:47:00,0,4,CR-616,1,10,11:06:00,99:99:00,0,1
51,510041,0,0,1,1,0,09-01-2015,6,12:31:00,0,3,SR-5,1,10,99:99:00,88:88:00,0,1
51,510042,0,0,4,2,0,06-02-2015,6,19:23:00,0,2,US-58,2,10,99:99:00,99:99:00,0,1
51,510043,0,0,4,2,0,07-02-2015,7,12:44:00,0,2,US-23,1,10,13:19:00,14:16:00,0,1
51,510044,0,0,1,1,0,07-02-2015,7,10:30:00,0,3,SR-18,1,10,99:99:00,88:88:00,1,1
51,510045,0,0,1,1,0,07-02-2015,7,19:22:00,0,4,CR-635,2,10,19:28:00,88:88:00,1,1
51,510046,0,0,2,1,0,09-02-2015,2,12:40:00,1,1,I-95,1,10,99:99:00,99:99:00,0,1
51,510047,0,0,3,2,2390,10-02-2015,3,08:04:00,0,2,US-13,1,2,08:15:00,10:11:00,0,2
51,510048,0,0,1,1,1970,08-02-2015,1,02:40:00,1,1,I-264,3,10,99:99:00,88:88:00,0,1
51,510049,1,1,1,1,0,07-02-2015,7,23:41:00,0,2,US-301,2,10,00:03:00,88:88:00,0,1
51,510050,1,1,1,1,2540,31-01-2015,7,13:49:00,0,6,HOLLAND RD,1,10,14:55:00,15:53:00,0,1
51,510051,0,0,3,2,0,11-02-2015,4,06:20:00,0,2,US-522,2,10,06:41:00,99:99:00,0,1
51,510052,0,0,1,1,0,14-02-2015,7,15:36:00,0,3,SR-8,1,10,15:42:00,16:10:00,0,1
51,510053,0,0,2,1,0,09-02-2015,2,23:40:00,1,1,I-81,2,10,23:56:00,00:39:00,0,1
51,510054,0,0,2,2,0,13-02-2015,6,23:30:00,0,2,US-58,2,10,99:99:00,88:88:00,1,1
51,510055,0,0,1,1,0,15-02-2015,1,00:55:00,1,2,US-522,2,10,99:99:00,88:88:00,1,1
51,510056,0,0,2,1,0,16-02-2015,2,12:50:00,1,1,I-81,1,4,13:08:00,99:99:00,1,1
51,510057,0,0,2,1,2540,23-01-2015,6,02:34:00,1,2,US-60,2,10,02:45:00,03:10:00,1,1
51,510058,0,0,4,2,0,16-02-2015,2,21:30:00,0,2,US-15,2,4,21:56:00,22:35:00,0,1
51,510059,0,0,3,2,0,18-02-2015,4,15:52:00,0,3,SR-216,1,10,16:01:00,16:50:00,1,1
51,510060,0,0,2,2,468,17-02-2015,3,21:30:00,1,1,I-264,3,10,21:47:00,99:99:00,1,1
51,510061,0,0,2,1,0,21-02-2015,7,13:55:00,0,2,US-1,1,3,99:99:00,99:99:00,0,1
51,510062,1,1,1,1,0,18-02-2015,4,05:38:00,0,2,US-1,2,10,05:53:00,06:19:00,0,1
51,510063,0,0,2,2,0,20-02-2015,6,22:38:00,0,4,CR-611,2,10,22:54:00,88:88:00,1,1
51,510064,0,0,1,1,0,24-02-2015,3,06:32:00,0,2,US-360,3,10,99:99:00,88:88:00,1,1
51,510065,0,0,2,2,0,24-02-2015,3,00:04:00,0,2,US-17,3,10,00:15:00,99:99:00,1,1
51,510066,0,0,1,1,0,23-01-2015,6,19:07:00,0,2,US-50,2,3,19:14:00,21:31:00,0,1
51,510067,0,0,1,1,0,25-02-2015,4,06:00:00,0,4,CR-1130,2,10,99:99:00,88:88:00,1,1
51,510068,0,0,2,2,1180,12-02-2015,5,06:24:00,0,3,SR-152,4,10,06:44:00,99:99:00,1,1
51,510069,0,0,1,1,0,25-02-2015,4,09:05:00,0,2,US-50,1,10,99:99:00,88:88:00,1,1
51,510070,0,0,1,1,0,25-02-2015,4,06:50:00,0,4,CR-685,1,10,06:51:00,07:43:00,1,1
51,510071,0,0,2,1,0,27-02-2015,6,18:25:00,0,4,CR-341,9,10,18:34:00,19:10:00,0,2
51,510072,0,0,1,1,0,27-02-2015,6,02:00:00,0,4,CR-750,2,10,99:99:00,88:88:00,0,1
51,510073,0,0,1,1,0,28-02-2015,7,16:25:00,0,2,US-29,1,10,99:99:00,88:88:00,1,1
51,510074,0,0,4,1,0,01-03-2015,1,07:15:00,1,1,I-85,1,2,07:38:00,09:07:00,0,1
51,510075,0,0,2,2,1720,04-02-2015,4,18:03:00,0,6,ROANOKE AVENUE,3,10,18:17:00,18:42:00,0,1
51,510076,1,1,2,2,0,13-01-2015,3,23:46:00,0,2,US-1,3,10,23:50:00,88:88:00,0,1
51,510077,1,1,2,1,0,26-02-2015,5,18:02:00,0,4,CR-675,2,10,99:99:00,99:99:00,0,1
51,510078,0,0,5,4,468,27-02-2015,6,17:50:00,0,3,SR-337,1,4,18:00:00,18:29:00,1,1
51,510079,0,0,3,2,0,01-03-2015,1,09:30:00,0,3,SR-80,1,10,10:03:00,11:01:00,0,1
51,510080,0,0,2,1,0,27-02-2015,6,21:24:00,0,2,US-21,2,10,21:40:00,21:54:00,0,2
51,510081,0,0,1,1,0,02-03-2015,2,16:50:00,0,4,CR-611,1,10,16:54:00,88:88:00,0,1
51,510082,1,1,1,1,0,26-02-2015,5,20:18:00,0,2,US-11,2,10,99:99:00,88:88:00,0,1
51,510083,0,0,1,1,0,03-03-2015,3,10:19:00,0,4,CR-696,1,10,10:31:00,88:88:00,0,1
51,510084,0,0,5,3,0,01-03-2015,1,20:08:00,1,1,I-64,2,2,20:31:00,99:99:00,1,2
51,510085,0,0,1,1,0,27-02-2015,6,21:30:00,0,4,CR-687,2,10,99:99:00,99:99:00,1,1
51,510086,0,0,2,2,2390,24-02-2015,3,08:44:00,1,2,US-58,1,10,99:99:00,88:88:00,1,1
51,510087,0,0,2,1,0,21-02-2015,7,07:40:00,1,1,I-81,1,4,07:53:00,08:26:00,0,1
51,510088,0,0,2,1,0,01-03-2015,1,15:46:00,1,1,I-95,1,3,99:99:00,99:99:00,0,1
51,510089,0,0,4,1,0,05-03-2015,5,13:59:00,1,1,I-295,1,3,99:99:00,99:99:00,0,1
51,510090,0,0,1,1,0,06-03-2015,6,17:15:00,0,3,SR-100,1,10,17:49:00,88:88:00,1,1
51,510091,0,0,1,1,0,07-03-2015,7,21:09:00,0,4,CR-621,2,10,21:16:00,22:32:00,1,1
51,510092,0,0,3,2,0,07-03-2015,7,22:25:00,0,4,CR-754,3,10,22:30:00,23:14:00,1,1
