STATE,ST_CASE,PVE_FORMS,VEH_NO,PFIRE,PDEATHS,CrashDate,CrashTime,PMAN_COLL,PNUMOCCS,PTYPE,PHIT_RUN,PMODEL,PMODYEAR,PGVWR,PV_CONFIG,PHAZ_INV,PVEH_SEV,PTOWED
4,40153,1,2,0,0,15-Mar,17:26:00,Not_Collision_with_Motor_Vehicle_in_Transport,0,Motor_Vehicle_Not_in_Transport_Within_the_Trafficway,No,481,2002,0,Not_Applicable,No,Minor_Damage,Not_Towed
4,40170,1,2,0,0,26-Mar,21:02:00,Not_Collision_with_Motor_Vehicle_in_Transport,0,Motor_Vehicle_Not_in_Transport_Outside_the_Trafficway,No,884,2012,3,Truck_Tractor,No,Minor_Damage,Not_Towed
4,40178,1,2,0,0,30-Mar,16:55:00,Not_Collision_with_Motor_Vehicle_in_Transport,0,Motor_Vehicle_Not_in_Transport_Within_the_Trafficway,No,52,2002,0,Not_Applicable,No,Disabling_Damage,Towed_Due_to_Disabling_Damage
4,40178,1,3,0,0,30-Mar,16:55:00,Not_Collision_with_Motor_Vehicle_in_Transport,0,Motor_Vehicle_Not_in_Transport_Within_the_Trafficway,No,16,2000,0,Not_Applicable,No,Disabling_Damage,Towed_Due_to_Disabling_Damage
4,40178,1,4,0,0,30-Mar,16:55:00,Not_Collision_with_Motor_Vehicle_in_Transport,0,Motor_Vehicle_Not_in_Transport_Within_the_Trafficway,No,481,2000,0,Not_Applicable,No,Functional_Damage,Not_Towed
4,40178,1,5,0,0,30-Mar,16:55:00,Not_Collision_with_Motor_Vehicle_in_Transport,0,Motor_Vehicle_Not_in_Transport_Within_the_Trafficway,No,404,2008,0,Not_Applicable,No,Functional_Damage,Not_Towed
4,40178,1,6,0,0,30-Mar,16:55:00,Not_Collision_with_Motor_Vehicle_in_Transport,0,Motor_Vehicle_Not_in_Transport_Within_the_Trafficway,No,2,2004,0,Not_Applicable,No,Functional_Damage,Not_Towed
4,40272,1,2,0,0,25-Apr,07:48:00,Not_Collision_with_Motor_Vehicle_in_Transport,0,Motor_Vehicle_Not_in_Transport_Within_the_Trafficway,No,481,1994,0,Not_Applicable,No,Functional_Damage,Towed_Not_Due_to_Disabling_Damage
4,40303,1,2,0,0,25-May,17:00:00,Not_Collision_with_Motor_Vehicle_in_Transport,0,Motor_Vehicle_Not_in_Transport_Within_the_Trafficway,No,16,1998,0,Not_Applicable,No,Minor_Damage,Not_Towed
4,40339,1,2,0,0,14-May,20:15:00,Not_Collision_with_Motor_Vehicle_in_Transport,0,Motor_Vehicle_Not_in_Transport_Within_the_Trafficway,No,481,2007,0,Not_Applicable,No,Minor_Damage,Not_Towed
4,40339,1,3,0,0,14-May,20:15:00,Not_Collision_with_Motor_Vehicle_in_Transport,0,Motor_Vehicle_Not_in_Transport_Within_the_Trafficway,No,481,2013,0,Not_Applicable,No,Disabling_Damage,Towed_Due_to_Disabling_Damage
4,40343,1,2,0,0,16-May,04:36:00,Not_Collision_with_Motor_Vehicle_in_Transport,0,Motor_Vehicle_Not_in_Transport_Outside_the_Trafficway,No,481,1972,0,Not_Applicable,No,Disabling_Damage,Towed_Due_to_Disabling_Damage
4,40350,2,3,0,0,24-May,22:00:00,Unknown,0,Motor_Vehicle_Not_in_Transport_Outside_the_Trafficway,No,999,9999,0,Not_Applicable,No,Unknown,Unknown
4,40350,2,4,0,0,24-May,22:00:00,Unknown,0,Motor_Vehicle_Not_in_Transport_Outside_the_Trafficway,No,999,9999,0,Not_Applicable,No,Unknown,Unknown
4,40382,1,2,0,0,19-Jun,16:57:00,Not_Collision_with_Motor_Vehicle_in_Transport,2,Motor_Vehicle_Not_in_Transport_Within_the_Trafficway,No,881,2012,3,Tractor/Semi-Trailer,No,Minor_Damage,Not_Towed
4,40433,1,2,0,0,09-Jul,16:29:00,Not_Collision_with_Motor_Vehicle_in_Transport,1,Motor_Vehicle_Not_in_Transport_Within_the_Trafficway,No,481,2011,0,Not_Applicable,No,Disabling_Damage,Towed_Due_to_Disabling_Damage
4,40438,2,3,0,0,12-Jul,20:22:00,Front-to-Rear,0,Motor_Vehicle_Not_in_Transport_Within_the_Trafficway,No,881,9999,2,"Single-Unit_Truck_(2_axles_and_GVWR_more_than_1Not_Applicable,Not_ApplicableNot_ApplicableNot_Applicable_lbs.)",No,Disabling_Damage,Towed_Due_to_Disabling_Damage
4,40448,1,2,0,0,27-Jul,06:07:00,Not_Collision_with_Motor_Vehicle_in_Transport,1,Motor_Vehicle_Not_in_Transport_Within_the_Trafficway,No,881,2014,3,Tractor/Semi-Trailer,No,Disabling_Damage,Towed_Due_to_Disabling_Damage
4,40590,1,2,0,0,05-Sep,21:33:00,Not_Collision_with_Motor_Vehicle_in_Transport,0,Motor_Vehicle_Not_in_Transport_Outside_the_Trafficway,No,481,1991,0,Not_Applicable,No,Functional_Damage,Not_Towed
4,40613,1,2,0,0,27-Sep,01:23:00,Not_Collision_with_Motor_Vehicle_in_Transport,0,Motor_Vehicle_Not_in_Transport_Outside_the_Trafficway,No,42,2007,0,Not_Applicable,No,Disabling_Damage,Not_Towed
4,40613,1,3,0,0,27-Sep,01:23:00,Not_Collision_with_Motor_Vehicle_in_Transport,0,Motor_Vehicle_Not_in_Transport_Outside_the_Trafficway,No,51,2006,0,Not_Applicable,No,Disabling_Damage,Not_Towed
4,40613,1,4,0,0,27-Sep,01:23:00,Not_Collision_with_Motor_Vehicle_in_Transport,0,Motor_Vehicle_Not_in_Transport_Outside_the_Trafficway,No,46,2006,0,Not_Applicable,No,Minor_Damage,Not_Towed
4,40613,1,5,0,0,27-Sep,01:23:00,Not_Collision_with_Motor_Vehicle_in_Transport,0,Motor_Vehicle_Not_in_Transport_Outside_the_Trafficway,No,34,2011,0,Not_Applicable,No,Minor_Damage,Not_Towed
4,40613,1,6,0,0,27-Sep,01:23:00,Not_Collision_with_Motor_Vehicle_in_Transport,0,Motor_Vehicle_Not_in_Transport_Outside_the_Trafficway,No,34,2011,0,Not_Applicable,No,Minor_Damage,Not_Towed
4,40613,1,7,0,0,27-Sep,01:23:00,Not_Collision_with_Motor_Vehicle_in_Transport,0,Motor_Vehicle_Not_in_Transport_Outside_the_Trafficway,No,471,2006,0,Not_Applicable,No,Minor_Damage,Not_Towed
4,40613,1,8,0,0,27-Sep,01:23:00,Not_Collision_with_Motor_Vehicle_in_Transport,0,Motor_Vehicle_Not_in_Transport_Outside_the_Trafficway,No,48,2008,0,Not_Applicable,No,Minor_Damage,Not_Towed
4,40670,2,3,0,0,19-Oct,16:27:00,Angle,0,Motor_Vehicle_Not_in_Transport_Outside_the_Trafficway,No,37,2009,0,Not_Applicable,No,Minor_Damage,Not_Towed
