STATE,ST_CASE,PVE_FORMS,VEH_NO,CrashDate,CrashTime,PMAN_COLL,PNUMOCCS,PTYPE,PHIT_RUN,PMODEL,PMODYEAR,PGVWR,PV_CONFIG,PHAZ_INV,PHAZ_ID,PVEH_SEV,PTOWED,PFIRE,PDEATHS
5,50413,1,6,06-Nov,01:58,0,0,3,0,421,2007,0,0,1,0,6,5,0,0
5,50413,1,7,06-Nov,01:58,0,0,3,0,402,2012,0,0,1,0,6,5,0,0
5,50413,1,8,06-Nov,01:58,0,0,3,0,471,2001,0,0,1,0,6,5,0,0
5,50413,1,9,06-Nov,01:58,0,0,3,0,472,2008,0,0,1,0,6,5,0,0
5,50413,1,10,06-Nov,01:58,0,0,3,0,472,2006,0,0,1,0,6,5,0,0
5,50413,1,11,06-Nov,01:58,0,0,3,0,472,2009,0,0,1,0,6,5,0,0
5,50413,1,12,06-Nov,01:58,0,0,3,0,481,2010,0,0,1,0,6,5,0,0
5,50451,1,2,30-Nov,19:57,0,0,2,0,481,1973,0,0,1,0,2,3,0,0
5,50480,1,2,29-Dec,16:55,0,0,3,0,999,9999,0,0,1,0,2,5,0,0
6,60067,1,2,13-Jan,06:10,0,1,2,0,981,2010,2,21,1,0,4,5,0,0
6,60090,1,2,15-Jan,13:50,0,1,3,0,881,2000,3,1,1,0,6,2,0,0
6,60098,1,2,21-Jan,17:50,0,0,2,0,31,2001,0,0,1,0,2,5,0,0
6,60100,1,2,17-Jan,07:05,0,0,2,0,890,2014,2,2,1,0,4,3,0,0
6,60100,1,3,17-Jan,07:05,0,0,2,0,472,2008,0,0,1,0,6,2,0,0
6,60100,1,4,17-Jan,07:05,0,1,2,0,482,2003,0,0,1,0,4,3,0,0
6,60109,2,3,23-Jan,04:24,98,0,2,0,28,2015,0,0,1,0,2,3,0,0
6,60150,2,3,26-Jan,12:01,7,0,2,0,881,2001,2,1,1,0,2,5,0,0
6,60192,1,1,28-Jan,03:00,0,0,2,0,881,1998,3,7,1,0,6,2,0,0
6,60258,2,3,03-Feb,22:18,2,0,2,0,482,2003,0,0,1,0,2,3,0,0
6,60276,1,2,18-Feb,12:23,0,0,2,0,401,2000,0,0,1,0,4,5,0,0
6,60298,1,2,15-Feb,21:45,0,0,2,0,32,2015,0,0,1,0,2,3,0,0
6,60299,2,3,18-Feb,06:21,6,0,2,0,43,2001,0,0,1,0,2,5,0,0
6,60314,1,2,20-Feb,21:31,0,0,2,0,883,2015,3,6,1,0,0,5,0,0
6,60370,1,2,06-Mar,21:08,0,0,2,0,34,2001,0,0,1,0,2,5,0,0
6,60371,2,3,28-Feb,19:10,6,0,2,0,471,1985,0,0,1,0,2,5,0,0
6,60409,1,2,06-Mar,16:54,0,0,2,0,51,2014,0,0,1,0,0,3,0,0
6,60438,1,2,10-Mar,05:39,0,0,2,0,32,2010,0,0,1,0,2,5,0,0
6,60447,2,3,04-Mar,12:14,6,0,2,0,47,2005,0,0,1,0,2,3,0,0
6,60451,1,2,03-Mar,14:12,0,0,4,0,881,2011,3,2,1,0,6,2,1,0
6,60487,2,2,18-Mar,13:05,0,0,2,0,471,1986,0,0,1,0,4,5,0,0
6,60487,2,3,18-Mar,13:05,0,0,2,0,47,2011,0,0,1,0,6,2,0,0
6,60603,2,3,31-Mar,16:50,6,0,2,0,442,2003,0,0,1,0,4,3,0,0
6,60603,2,4,31-Mar,16:50,6,0,2,0,37,2004,0,0,1,0,4,5,0,0
6,60613,1,2,28-Mar,20:13,0,0,2,0,401,2005,0,0,1,0,6,2,0,0
6,60613,1,3,28-Mar,20:13,0,0,2,0,401,2009,0,0,1,0,6,2,0,0
6,60617,1,2,29-Mar,22:57,0,0,2,0,471,1998,0,0,1,0,2,3,0,0
6,60617,1,3,29-Mar,22:57,0,0,2,0,481,1999,0,0,1,0,2,5,0,0
6,60624,2,3,24-Mar,13:42,6,0,2,0,402,1999,0,0,1,0,4,5,0,0
6,60624,2,4,24-Mar,13:42,6,0,2,0,443,2002,0,0,1,0,2,5,0,0
6,60625,1,2,05-Apr,18:41,0,0,2,0,31,1991,0,0,1,0,4,3,0,0
6,60632,2,3,07-Apr,13:38,6,0,3,0,31,2006,0,0,1,0,2,5,0,0
6,60667,1,2,09-Apr,14:30,0,0,2,0,422,2005,0,0,1,0,2,5,0,0
